City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gelemso,ET,2022-05-22 04:37:03,8.8167,40.5167,68.13,66,77,6.06
1,Fornosovo,RU,2022-05-22 04:37:04,59.5689,30.5544,46.63,51,0,7.0
2,Hithadhoo,MV,2022-05-22 04:32:28,-0.6,73.0833,83.46,69,100,11.03
3,Billings,US,2022-05-22 04:37:04,45.7833,-108.5007,44.37,54,75,6.91
4,Ushuaia,AR,2022-05-22 04:32:49,-54.8,-68.3,37.06,81,0,3.44
5,Shetpe,KZ,2022-05-22 04:37:05,44.1667,52.1167,64.67,49,43,23.49
6,Georgetown,MY,2022-05-22 04:32:30,5.4112,100.3354,87.75,74,40,5.99
7,Khatanga,RU,2022-05-22 04:36:50,71.9667,102.5,36.21,86,100,8.14
8,Kapaa,US,2022-05-22 04:31:11,22.0752,-159.319,78.78,89,75,11.5
9,Puerto Ayora,EC,2022-05-22 04:31:02,-0.7393,-90.3518,71.08,89,56,5.82
10,Atuona,PF,2022-05-22 04:34:05,-9.8,-139.0333,77.61,79,20,8.46
11,Mahebourg,MU,2022-05-22 04:36:53,-20.4081,57.7,73.69,78,40,5.75
12,Lavrentiya,RU,2022-05-22 04:37:07,65.5833,-171.0,37.92,83,99,9.48
13,Saskylakh,RU,2022-05-22 04:34:12,71.9167,114.0833,34.81,100,100,3.31
14,Hovd,MN,2022-05-22 04:32:44,48.0056,91.6419,70.52,15,46,4.83
15,Albany,US,2022-05-22 04:28:06,42.6001,-73.9662,77.52,85,52,2.57
16,San Juan,AR,2022-05-22 04:37:08,-31.5375,-68.5364,55.49,31,89,4.54
17,Hobart,AU,2022-05-22 04:34:22,-42.8794,147.3294,56.26,73,75,10.36
18,Saldanha,ZA,2022-05-22 04:33:02,-33.0117,17.9442,42.85,82,53,4.07
19,Leningradskiy,RU,2022-05-22 04:37:09,69.3833,178.4167,34.21,96,97,11.05
20,Hammerfest,NO,2022-05-22 04:37:10,70.6634,23.6821,45.05,65,100,2.3
21,Mount Isa,AU,2022-05-22 04:37:10,-20.7333,139.5,78.57,38,40,5.75
22,Cabo San Lucas,MX,2022-05-22 04:34:43,22.8909,-109.9124,74.61,67,1,13.6
23,Nikolskoye,RU,2022-05-22 04:35:30,59.7035,30.7861,46.87,50,0,6.46
24,Krasnoborsk,RU,2022-05-22 04:37:11,61.5598,45.934,35.1,70,100,9.64
25,Codrington,AU,2022-05-22 04:36:49,-38.2667,141.9667,58.8,62,5,8.66
26,Vaini,TO,2022-05-22 04:31:09,-21.2,-175.2,80.76,74,40,6.91
27,Paraopeba,BR,2022-05-22 04:37:12,-19.2757,-44.4033,52.21,77,0,4.05
28,Nalut,LY,2022-05-22 04:37:13,30.3333,10.85,63.41,13,0,9.35
29,Butaritari,KI,2022-05-22 04:32:18,3.0707,172.7902,81.72,78,85,11.63
30,Ouesso,CG,2022-05-22 04:37:13,1.6136,16.0517,69.58,89,95,2.24
31,Northam,GB,2022-05-22 04:37:14,51.0333,-4.2167,51.62,88,79,7.31
32,Sahuaripa,MX,2022-05-22 04:37:14,29.05,-109.2333,74.77,32,42,5.12
33,Bredasdorp,ZA,2022-05-22 04:32:55,-34.5322,20.0403,51.35,84,36,6.26
34,Yuma,US,2022-05-22 04:37:15,32.7253,-114.6244,81.37,33,0,13.8
35,Busselton,AU,2022-05-22 04:32:50,-33.65,115.3333,68.23,72,53,24.67
36,Port Alfred,ZA,2022-05-22 04:37:16,-33.5906,26.891,57.06,80,2,5.77
37,Bluff,NZ,2022-05-22 04:35:28,-46.6,168.3333,48.67,65,69,21.39
38,Mataura,NZ,2022-05-22 04:37:16,-46.1927,168.8643,42.35,82,68,8.08
39,Bowen,AU,2022-05-22 04:35:19,-20.0167,148.2333,77.2,70,62,16.11
40,Kovur,IN,2022-05-22 04:37:17,14.4833,79.9833,89.53,46,99,18.54
41,Punta Arenas,CL,2022-05-22 04:31:24,-53.15,-70.9167,37.51,75,75,3.44
42,Sept-Iles,CA,2022-05-22 04:30:02,50.2001,-66.3821,46.92,97,100,3.44
43,Thompson,CA,2022-05-22 04:28:06,55.7435,-97.8558,35.76,64,20,0.0
44,Barrow,US,2022-05-22 04:38:19,71.2906,-156.7887,23.02,86,100,12.66
45,Korcula,HR,2022-05-22 04:38:19,42.9622,17.1369,68.54,75,97,1.39
46,Iskele,TR,2022-05-22 04:38:20,39.484,26.9278,51.89,82,0,3.44
47,Vardo,NO,2022-05-22 04:38:20,70.3705,31.1107,39.18,87,100,18.41
48,Dunedin,NZ,2022-05-22 04:38:21,-45.8742,170.5036,49.8,64,87,10.0
49,Presidencia Roque Saenz Pena,AR,2022-05-22 04:38:21,-26.7852,-60.4388,52.95,84,21,5.26
50,Logan,US,2022-05-22 04:37:11,41.7355,-111.8344,51.48,52,0,5.75
51,Neryungri,RU,2022-05-22 04:38:22,56.6709,124.6491,46.42,75,100,4.23
52,Kodiak,US,2022-05-22 04:32:52,57.79,-152.4072,45.91,93,100,18.41
53,Ramgarh,IN,2022-05-22 04:38:23,23.6333,85.5167,86.05,16,58,12.73
54,Karwar,IN,2022-05-22 04:34:09,14.8,74.1333,83.07,76,74,7.02
55,Lompoc,US,2022-05-22 04:35:29,34.6391,-120.4579,56.01,85,100,6.91
56,San Cristobal,VE,2022-05-22 04:38:23,7.7669,-72.225,69.98,85,17,2.95
