City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
8,Rikitea,PF,75.96,clear sky,-23.1203,-134.9692,People ThankYou
9,Galveston,US,80.56,clear sky,29.3669,-94.9669,Crystal Suites
11,Butaritari,KI,80.6,moderate rain,3.0707,172.7902,Isles Sunset Lodge
13,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
16,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
18,Hobyo,SO,81.45,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
20,Bengkulu,ID,77.59,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
21,Takoradi,GH,76.14,overcast clouds,4.8845,-1.7554,Raybow International Hotel
24,Lufilufi,WS,82.45,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
25,Namatanai,PG,79.61,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
26,Atuona,PF,77.5,light rain,-9.8,-139.0333,Villa Enata
27,Pangai,TO,78.13,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
28,Arraial Do Cabo,BR,75.06,few clouds,-22.9661,-42.0278,Pousada Porto Praia
29,Fare,PF,80.15,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
33,Angoche,MZ,77.5,clear sky,-16.2325,39.9086,Guest House HESADA
34,Pedernales,DO,85.71,broken clouds,18.0384,-71.744,Hotel Costa Marina
38,Auki,SB,77.45,few clouds,-8.7676,160.7034,Auki Motel
41,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
42,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
45,Wanning,CN,78.96,overcast clouds,18.8003,110.3967,Paradise Hotel
47,Havelock,US,80.58,overcast clouds,34.8791,-76.9013,Sherwood Motel
49,Cayenne,GF,85.08,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
51,Maisons-Alfort,FR,75.25,clear sky,48.8117,2.4395,Appart'City Paris Saint-Maurice - Appart Hôtel
53,Victoria,HK,79.18,overcast clouds,22.2855,114.1577,Mini Central
56,Acajutla,SV,84.99,moderate rain,13.5928,-89.8275,Laureles
58,Riberalta,BO,86.2,few clouds,-10.9833,-66.1,Hotel Colonial
65,Noumea,NC,77.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
68,Nuevo Casas Grandes,MX,75.74,broken clouds,30.4167,-107.9167,Hotel Villa Colonial
71,Novo Oriente,BR,83.62,overcast clouds,-5.5344,-40.7742,Golden Palace Hotel
72,Porbandar,IN,83.43,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
75,Broome,US,84.45,clear sky,42.2506,-75.833,Chenango Valley State Park
76,Odweyne,SO,88.54,overcast clouds,9.4092,45.064,Eng Hiirey House
78,Harrison,US,84.27,few clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
79,Labuhan,ID,80.85,light rain,-6.8844,112.2051,DoubleFAG
83,Buta,CD,78.17,light rain,2.7858,24.73,HOTEL BISO NA BISO
86,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
90,Dongying,CN,79.39,broken clouds,37.4564,118.4856,Wanda Realm
92,Kismayo,SO,80.4,overcast clouds,-0.3582,42.5454,Agan-Hotel
96,Gondanglegi,ID,75.76,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
97,Copala,MX,84.11,scattered clouds,16.65,-98.9833,Kaak Naab Playa Ventura
99,Mahibadhoo,MV,83.82,overcast clouds,3.7833,72.9667,Omadhoo Inn
104,Natal,BR,79.45,shower rain,-5.795,-35.2094,Villa Park Hotel | Natal
106,Avarua,CK,75.25,light intensity shower rain,-21.2078,-159.775,Paradise Inn
107,Ambilobe,MG,75.07,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
108,Rochester,US,79.61,broken clouds,43.1548,-77.6156,Hyatt Regency Rochester
114,Tagana-An,PH,79.07,overcast clouds,9.6972,125.5856,"Camille Ann, Islet Resort"
121,Bumba,CD,83.64,overcast clouds,2.1833,22.4667,Père Carlos
127,Dhidhdhoo,MV,83.91,broken clouds,6.8833,73.1,Dhidhoo beach
131,Roma,US,83.73,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
132,Kapaa,US,75.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
133,San Cristobal,VE,78.98,few clouds,7.7669,-72.225,Pirineos
138,Faanui,PF,80.46,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
139,Santa Catarina De Tepehuanes,MX,77.47,scattered clouds,25.35,-105.7333,hotel plaza
140,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
145,Padang,ID,78.17,overcast clouds,-0.9492,100.3543,Mercure Padang
146,Gigmoto,PH,81.07,overcast clouds,13.7796,124.39,Cj's Travellers Inn
150,Miandrivazo,MG,78.96,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
151,Coelho Neto,BR,84.2,few clouds,-4.2567,-43.0128,Hotel Tejof
154,Aire-Sur-La-Lys,FR,75.92,overcast clouds,50.6387,2.3988,Château de Moulin le Comte
155,Cabo San Lucas,MX,82.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
156,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
159,Nong Kung Si,TH,81.57,overcast clouds,16.65,103.3,บ้าน พี่บิ๊ก
163,Alofi,NU,79.07,light rain,-19.0595,-169.9187,Taloa Heights
165,Sterling,US,89.11,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
174,San Patricio,US,76.86,light rain,28.017,-97.5169,"Motel 6 Sinton, TX"
178,Dingle,PH,77.59,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
180,Bubaque,GW,78.71,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
184,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
190,Kavieng,PG,82.96,broken clouds,-2.5744,150.7967,Nusa Island Retreat
191,Hithadhoo,MV,84.11,overcast clouds,-0.6,73.0833,Scoop Guest House
194,Isangel,VU,75.83,broken clouds,-19.55,169.2667,Tanna Lodge
196,Bethel,US,87.98,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
198,Warri,NG,80.94,moderate rain,5.5167,5.75,BON Hotel Delta
201,Meiktila,MM,81.1,broken clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
203,Argelia,CO,77.97,light rain,2.2556,-77.2488,Hotel San Fernando Argelia
211,Bahia Honda,CU,87.87,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
213,Tantoyuca,MX,88.74,broken clouds,21.35,-98.2333,HOTEL VICTORIA
214,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
215,Maragogi,BR,80.51,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
218,Pizarro,CO,82.89,light rain,4.9533,-77.366,Hotel Limonar
221,Lorengau,PG,82.4,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
222,Pombas,CV,78.58,scattered clouds,17.1503,-25.0201,Paul Paradis
224,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
225,Entre Rios,BR,79.21,broken clouds,-11.9419,-38.0844,Pousada Porteira
226,Zemio,CF,81.68,overcast clouds,5.0314,25.1361,OCHA Office
228,Bafq,IR,80.13,clear sky,31.6128,55.4107,Alamdar Hotel
232,Miraflores,MX,75.87,clear sky,19.2167,-98.8083,Hotel Mansión
