City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
0,Ostrovnoy,RU,68.0531,39.5131,32.94,71,7,11.97,clear sky
1,Dikson,RU,73.5069,80.5464,28.06,96,100,10.33,light snow
2,Albany,US,42.6001,-73.9662,88.92,58,42,1.99,scattered clouds
3,Qaqortoq,GL,60.7167,-46.0333,37.87,95,100,16.62,moderate rain
4,Hilo,US,19.7297,-155.09,72.28,88,0,7.0,clear sky
5,Belebey,RU,54.1167,54.1167,41.86,84,87,2.73,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,37.06,93,20,2.3,few clouds
7,Hasaki,JP,35.7333,140.8333,61.29,81,97,8.86,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,75.96,76,8,13.29,clear sky
9,Galveston,US,29.3669,-94.9669,80.56,74,0,16.11,clear sky
10,Paracin,RS,43.8608,21.4078,72.27,55,21,9.31,few clouds
11,Butaritari,KI,3.0707,172.7902,80.6,83,100,13.53,moderate rain
12,Bellefontaine,US,40.3612,-83.7597,61.63,82,100,9.22,overcast clouds
13,Vaini,TO,-21.2,-175.2,75.36,88,40,3.44,scattered clouds
14,Upernavik,GL,72.7868,-56.1549,32.16,89,100,14.32,overcast clouds
15,Cape Town,ZA,-33.9258,18.4232,66.38,74,48,1.99,scattered clouds
16,Mahebourg,MU,-20.4081,57.7,75.49,73,40,10.36,scattered clouds
17,Hermanus,ZA,-34.4187,19.2345,60.8,81,40,11.39,scattered clouds
18,Hobyo,SO,5.3505,48.5268,81.45,79,96,26.26,overcast clouds
19,Nikolskoye,RU,59.7035,30.7861,53.49,35,0,7.31,clear sky
20,Bengkulu,ID,-3.8004,102.2655,77.59,87,99,3.33,moderate rain
21,Takoradi,GH,4.8845,-1.7554,76.14,89,100,7.83,overcast clouds
22,Nytva,RU,57.9404,55.334,40.89,83,100,8.52,overcast clouds
23,Bredasdorp,ZA,-34.5322,20.0403,60.39,74,44,7.96,scattered clouds
24,Lufilufi,WS,-13.8745,-171.5986,82.45,71,70,18.63,broken clouds
25,Namatanai,PG,-3.6667,152.4333,79.61,75,82,9.66,broken clouds
